Component,Model,Qty,Price Per Unit, Price Total, Description, Link
ESP32,ESP32-S3 DEVKIT-C,x1,$12.88,$12.88,Main Micro Controller,https://www.aliexpress.com/item/1005009443835670.html?spm=a2g0o.productlist.main.6.25cfxUojxUoj7p&algo_pvid=41a0153f-d817-4182-86a8-9bf80f599481&algo_exp_id=41a0153f-d817-4182-86a8-9bf80f599481-5&pdp_ext_f=%7B%22order%22%3A%2240%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21NZD%2126.45%2113.23%21%21%21104.49%2152.24%21%402101e2b617773545905723709ec2e3%2112000049118871476%21sea%21NZ%213666569895%21X%211%210%21n_tag%3A-29911%3Bd%3Aa2015beb%3Bm03_new_user%3A-29895&curPageLogUid=yhikXG2a50KB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009443835670%7C_p_origin_prod%3A
ESP32 CAM,ESP32-S3 CAM,x1,$10.32,$10.32,Takes video feed from camera and both records it and transmits it,https://www.aliexpress.com/item/1005009603118642.html?spm=a2g0o.productlist.main.1.6fabS6RMS6RMJc&algo_pvid=22fe8bd0-7e93-465e-bb07-e963a8ccf372&algo_exp_id=22fe8bd0-7e93-465e-bb07-e963a8ccf372-0&pdp_ext_f=%7B%22order%22%3A%22143%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21NZD%2121.05%2110.32%21%21%2182.63%2140.49%21%402101eee917771153758658988e7bde%2112000049603764963%21sea%21NZ%213666569895%21X%211%210%21n_tag%3A-29911%3Bd%3Aa2015beb%3Bm03_new_user%3A-29895&curPageLogUid=Ny8dmuNQDHgh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009603118642%7C_p_origin_prod%3A
120° Camera,OV2640 w/120° lense,x1,$12.38,$12.38,Camera for recording video,https://www.aliexpress.com/item/1005003040149873.html?spm=a2g0o.productlist.main.1.71351e82TzwRbu&algo_pvid=aaa9352c-0b32-455e-8d5f-df250c1c8e17&algo_exp_id=aaa9352c-0b32-455e-8d5f-df250c1c8e17-0&pdp_ext_f=%7B%22order%22%3A%228308%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21NZD%218.46%218.46%21%21%214.86%214.86%21%40210328df17771752608284633e4c7e%2112000028124728462%21sea%21NZ%213666569895%21X%211%210%21n_tag%3A-29911%3Bd%3Aa2015beb%3Bm03_new_user%3A-29895&curPageLogUid=EX1mAZmXkq9m&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003040149873%7C_p_origin_prod%3A&dp=gx-global-aliexpress-aliexpress-cos2&aff_fcid=0a5301f1012448ce9d8e1974798d951c-1777193165278-05376-_dYkk1qz&aff_fsk=_dYkk1qz&aff_platform=link-c-tool&sk=_dYkk1qz&aff_trace_key=0a5301f1012448ce9d8e1974798d951c-1777193165278-05376-_dYkk1qz&terminal_id=1386388ce2b5464ba8df24bf5aecb2d8&afSmartRedirect=y
Brushless Motor,IFlight XING 2806.5 1300KV,x2,$51.58,$103.16,Brushless motors for thrust,https://www.aliexpress.com/item/1005005797059350.html?spm=a2g0o.productlist.main.7.39265953O2I4xG&algo_pvid=56d3f084-c637-4e15-b9dc-e56ee5c80225&algo_exp_id=56d3f084-c637-4e15-b9dc-e56ee5c80225-6&pdp_ext_f=%7B%22order%22%3A%22332%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21NZD%2151.58%2151.58%21%21%21203.71%21203.71%21%402101e2b217768474332417856e2bca%2112000034385173513%21sea%21NZ%213666569895%21X%211%210%21n_tag%3A-29911%3Bd%3Aa2015beb%3Bm03_new_user%3A-29895&curPageLogUid=FrT1iZ1dkwSU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005797059350%7C_p_origin_prod%3A
Servo 17G 4pc,SURPASS Hobby Waterproof Servo 17g,x1,$46.00,$46.00,Servos for flight control surfaces,https://www.aliexpress.com/item/1005011970825050.html?spm=a2g0o.productlist.main.2.6bfd3fd0hyKfrB&algo_pvid=57240ed8-35f0-462f-8913-21afb36571c0&algo_exp_id=57240ed8-35f0-462f-8913-21afb36571c0-1&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21NZD%21104.19%2142.19%21%21%21411.51%21166.66%21%402103123917769403954318690e838b%2112000057185988576%21sea%21NZ%213666569895%21X%211%210%21n_tag%3A-29911%3Bd%3Aa2015beb%3Bm03_new_user%3A-29895%3BpisId%3A5000000203727450&curPageLogUid=urmbD6P5YXFl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011970825050%7C_p_origin_prod%3A
Avionics battery,1800mah 2s LiPo,x1,$17.66,$17.66,Battery for powering avionics flight computers & servos,https://www.aliexpress.com/item/1005007182130611.html?spm=a2g0o.productlist.main.1.283bLKpuLKpulQ&algo_pvid=3ea4bc6b-65c4-402c-926b-20c16eb20a0d&algo_exp_id=3ea4bc6b-65c4-402c-926b-20c16eb20a0d-0&pdp_ext_f=%7B%22order%22%3A%22772%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21NZD%2123.23%2115.56%21%21%2191.48%2161.29%21%402101e83017774991530921748ebe8f%2112000039724266347%21sea%21NZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa2015beb%3Bm03_new_user%3A-29895&curPageLogUid=40znlc1nTevL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007182130611%7C_p_origin_prod%3A
ESC,HV Bidirectional 60A Brushless ESC,x2,$24.91,$49.82,ESCs for main motors, https://www.aliexpress.com/item/1005008362023140.html?spm=a2g0o.productlist.main.3.6810RMzBRMzBtX&algo_pvid=a5642381-f0cb-44eb-8c3a-1912ae491f85&algo_exp_id=a5642381-f0cb-44eb-8c3a-1912ae491f85-2&pdp_ext_f=%7B%22order%22%3A%22599%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21NZD%2113.46%2113.46%21%21%217.79%217.79%21%40210337c117769853203774105e4f79%2112000044721589185%21sea%21NZ%213666569895%21X%211%210%21n_tag%3A-29911%3Bd%3Aa2015beb%3Bm03_new_user%3A-29895&curPageLogUid=hjvrkB2vXBu2&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008362023140%7C_p_origin_prod%3A
Water Pump,MINI310 water pump,x2,$7.83,$15.66,AlExpress,Water pumps for the ballast tanks
Barometer,BMP-280,x1,$7.94,$7.94,AliExpress,Measures borometric altitude & tempurature
IMU,MPU-6050,x1,$10.62,$10.62,AliExpress,Measures force angular momentum and orientation using gyroscopes and accelerometers
Laser Rangefinder,GY-TOF10M,x1,$29.88,$29.88,AliExpress,Measures distance using LiDaR 
Controller+Transceiver,Flysky FS-i6 + FS-IA6B,x1,$79.69,$79.69,AliExpress,Controller and reciever for controlling craft
Voltage Monitor,INA219,x1,$4.64,$4.64,AliEpress,Measures the battery percentage of the avionics & servos battery
Buck Converter,Mini-560,x1,$4.60,$4.60,AliExpress,Converts the 2s LiPo voltage down to 5V for the ESP32s
Voltage Monitor,FS-CVT01,x1,$8.50	,$8.50,AliExpress,Measures battery percentage of the main motor batteries
3D Printer Filament,1KG PLA+,x1,$27.90,$27.90,JayCar,Main body material
Props,3-Blade 7x3.7 Carbon Fiber Reinforced Pusher,x2,$9.47 USD,$18.94 USD,MasterAirScrew,Propellers for the motors
Motor batteries,5200mah 3s LiPo,x2,FREE,N/A,Already Own,Batteries for the motors
Pump Motor Driver,L293D,x1,FREE,N/A,Already Own, IC for the motors on the ballast tnk pumps
Epoxy Resin,500ml 105 Resin 100ml 206 Slow Hardener,x1,$35.00,$47.50,CarbonFibreNZ,Epoxy for carbon fiber wrap
PCB,N/A (custom),x1,$9.11 USD,$9.11 USD,JLCPCB,The main PCB for the board
